Timestamp,Usia,Gender,Lokasi Pengunjung,Apakah Anda pengguna sepatu Futsal merek Ortuseight?,Apa pertimbangan Anda ketika ingin menggunakan sepatu Futsal Ortuseight? (boleh memilih lebih dari satu jawaban),Column1,Column2,Column3,question_id + no,Answer,question,Respondents,Same Answer
2021-11-20 22.10.04,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,,H1,5,The price offered by Ortuseight futsal shoes is affordable,101,48
2021-11-20 22.10.04,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,,H2,4,The price offered by Ortuseight futsal shoes is in accordance with the quality of the product,101,52
2021-11-20 22.10.04,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,,H3,4,The price offered by Ortuseight futsal shoes can compete with other brands,101,38
2021-11-20 22.10.04,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,,H4,5,The price offered by Ortuseight futsal shoes is in accordance with the functions and benefits,101,48
2021-11-20 22.10.04,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,,KP1,4,Ortuseight futsal shoes are comfortable to use,101,46
2021-11-20 22.10.04,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,,KP2,4,Ortuseight futsal shoes are easy to use,101,43
2021-11-20 22.10.04,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,,KP3,4,Ortuseight futsal shoes have a light weight,101,34
2021-11-20 22.10.04,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,,KP4,4,Ortuseight futsal shoes are a strong product,101,45
2021-11-20 22.10.04,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,,KP5,4,Ortuseight futsal shoes have additional interesting features,101,37
2021-11-20 22.10.04,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,,KP6,4,Ortuseight futsal shoes are durable products,101,44
