Timestamp,Usia,Gender,Lokasi Pengunjung,Apakah Anda pengguna sepatu Futsal merek Ortuseight?,Apa pertimbangan Anda ketika ingin menggunakan sepatu Futsal Ortuseight? (boleh memilih lebih dari satu jawaban),Column1,Column2,Column3,H1,H2,H3,H4,KP1,KP2,KP3,KP4,KP5,KP6,KP7,KP8,KP9,KP10,KP11,KP12,KP13,KP14,KP15,CM1,CM2,CM3,CM4,CM5,KPB1,KPB2,KPB3,KPB4,KPB5,KPB6
11/20/2021 22.10.04,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4,4,4,4,4
11/21/2021 10.23.51,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,4,4,5,4,4,5,5,5,5,5,5,4,4,5,5,5,5,5,4,5,4,5,5,5,4,4,4,5,4,4
11/21/2021 11.47.52,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,4,5,5,5,4,4,5,4,3,4,3,4,4,5,4,4,5,4,5,4,4,5,5,5,5,4,4,5,3,5
11/21/2021 11.57.00,26-35 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,5,4,3,4,3,4,5,3,4,4,4,4,4,5,3,4,4,4,4,4,4,4,3,4,4,5,4,5,3,4
11/21/2021 12.17.07,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,,,4,4,4,4,4,4,3,4,3,4,4,4,4,4,3,5,4,3,3,4,4,3,3,4,5,5,5,5,5,5
11/21/2021 12.38.37,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,4,5,4,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,4,4,5,5,5,5,5,4,4,5,5
11/21/2021 12.47.27,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/21/2021 12.52.27,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,4,5,5,4,4,4,4,4,5,4,5,4,4,4,4,5,4,3,4,5,5,4,5,4,4,5,5,5,5,4
11/21/2021 12.53.04,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11/21/2021 14.38.01,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,4,5,4,3,5,5,3,5,3,4,4,4,5,5,3,4,4,4,4,3,4,5,4,4,4,4,4,3,4,4
11/21/2021 14.43.48,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
11/22/2021 8.13.10,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,5,5,5
11/22/2021 8.39.25,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,Nyaman saat dipakai membuat pengguna ortuseight lebih baik saat berolaharga,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/22/2021 10.18.33,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,4,4,5,4,5,5,5,4,4,4,3,4,5,5,4,5,5,4,4,5,5,5,5,5,3,4,5,4,5,5
11/22/2021 10.53.56,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
11/22/2021 11.18.03,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,4,4,5,5,4,4,5,4,4,4,4,5,5,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,5,4
11/22/2021 11.28.22,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/22/2021 12.33.09,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/22/2021 12.42.37,26-35 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11/22/2021 13.11.01,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,5,4,4,5,5,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,5,3,4,4,5,5,4,4,4
11/22/2021 15.32.12,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,4,4,4,3,5,5,4,4,4,5,5,4,4,5,3,4,4,5,4,5,5,4,5,5,4,4,4,4,4,4
11/22/2021 15.33.54,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,4,4,5,4,4,5,4,5,4,4,4,5,4,4,5,4,4,5,4,5,5,4,5,4,4,5,4,4,5,5
11/22/2021 15.38.59,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/22/2021 17.35.41,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,4,5,4,4,5,5,5,5,4,4,4,4,5,5,3,5,5,3,5,5,5,4,5,4,5,5,5,5,5,5
11/22/2021 17.42.11,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,4,5,3,5,5,4,4,4,4,4,3,4,5,4,3,5,4,4,4,4,5,5,3,4,4,4,4,4,5,5
11/22/2021 18.15.52,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,4,3,5,5,5,5,5,5,5,5,5,5,5
11/23/2021 5.12.51,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,5,4,5,4,5,4,4,3,3,4,3,4,4,2,1,4,3,4,4,5,5,2,5,5,3,3,3,4,4,4
11/24/2021 0.02.55,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,5,3,4,5,4,5,3,3,2,3,3,5,4,5,3,2,3,1,3,4,4,4,5,5,3,5,4,4,3,3
11/24/2021 20.21.02,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,5,5,5,5,5,5,5,5,5,4,4,5,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/24/2021 20.27.01,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4
11/24/2021 22.07.09,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/25/2021 11.36.15,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
11/25/2021 11.39.09,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,Citra Merek yang positif di masyarakat,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5
